outbreak,date,naive_frequentist,naive_frequentist_lower,naive_frequentist_upper,naive_bayes_own_data,naive_bayes_own_data_lower,naive_bayes_own_data_upper,naive_bayes_historical,naive_bayes_historical_lower,naive_bayes_historical_upper,resolved_frequentist,resolved_frequentist_lower,resolved_frequentist_upper,resolved_bayes_own_data,resolved_bayes_own_data_lower,resolved_bayes_own_data_upper,resolved_bayes_historical,resolved_bayes_historical_lower,resolved_bayes_historical_upper,delay_adjusted_bayes_historical,delay_adjusted_bayes_historical_lower,delay_adjusted_bayes_historical_upper,delay_adjusted_bayes_own_data,delay_adjusted_bayes_own_data_lower,delay_adjusted_bayes_own_data_upper,delay_adjusted_frequentist,delay_adjusted_frequentist_lower,delay_adjusted_frequentist_upper
Kikwit,1995-06-25,0.7708333333333334,0.717898314868485,0.8181007588980294,0.7695844720089148,0.7188404198327116,0.815577563823265,0.7632695526431439,0.7131558885131295,0.8101023722943369,0.8638132295719845,0.8157179237700071,0.9032738300658003,0.8619335747269075,0.8164120818224575,0.9003203109408597,0.8618992652108765,0.8177535658256551,0.901020358649116,0.7862548331173435,0.7366145316658529,0.8307908248346916,0.7871800297612532,0.7370059738225436,0.8310713149484888,0.7872,0.7371000000000001,0.8322
Kikwit,1995-06-26,0.7708333333333334,0.717898314868485,0.8181007588980294,0.7695844720089148,0.7188404198327116,0.815577563823265,0.7632695526431439,0.7131558885131295,0.8101023722943369,0.8638132295719845,0.8157179237700071,0.9032738300658003,0.8619335747269075,0.8164120818224575,0.9003203109408597,0.8618992652108765,0.8177535658256551,0.901020358649116,0.7839475444432742,0.7343204011965635,0.8286416783052237,0.7848697709861221,0.7346024273880508,0.8286906700291021,0.7872,0.7371000000000001,0.8322
Kikwit,1995-06-27,0.7708333333333334,0.717898314868485,0.8181007588980294,0.7695844720089148,0.7188404198327116,0.815577563823265,0.7632695526431439,0.7131558885131295,0.8101023722943369,0.8638132295719845,0.8157179237700071,0.9032738300658003,0.8619335747269075,0.8164120818224575,0.9003203109408597,0.8618992652108765,0.8177535658256551,0.901020358649116,0.7820360540242369,0.7319683586867496,0.8268668180974874,0.7826132888505788,0.7323599686504643,0.8266999781096533,0.7845000000000001,0.7342000000000001,0.8296
Kikwit,1995-06-28,0.7708333333333334,0.717898314868485,0.8181007588980294,0.7695844720089148,0.7188404198327116,0.815577563823265,0.7632695526431439,0.7131558885131295,0.8101023722943369,0.8638132295719845,0.8157179237700071,0.9032738300658003,0.8619335747269075,0.8164120818224575,0.9003203109408597,0.8618992652108765,0.8177535658256551,0.901020358649116,0.7803174604260059,0.7299971213618961,0.8252856730021947,0.7807660771360891,0.7303829279548791,0.8251027393019172,0.7817000000000001,0.7313000000000001,0.8270000000000001
Kikwit,1995-06-29,0.7708333333333334,0.717898314868485,0.8181007588980294,0.7695844720089148,0.7188404198327116,0.815577563823265,0.7632695526431439,0.7131558885131295,0.8101023722943369,0.8638132295719845,0.8157179237700071,0.9032738300658003,0.8619335747269075,0.8164120818224575,0.9003203109408597,0.8618992652108765,0.8177535658256551,0.901020358649116,0.7788235482041486,0.7282089236782032,0.8238537225489885,0.779146435478945,0.7288732241158303,0.8237557380034191,0.7817000000000001,0.7313000000000001,0.8270000000000001
Kikwit,1995-06-30,0.7708333333333334,0.717898314868485,0.8181007588980294,0.7695844720089148,0.7188404198327116,0.815577563823265,0.7632695526431439,0.7131558885131295,0.8101023722943369,0.8604651162790697,0.8120932277244612,0.9003203109408597,0.8586099831262743,0.8127981060143447,0.8973794133652565,0.85881122872333,0.8152142872805622,0.8985340037043059,0.7774308588678497,0.7269596517226041,0.822524446323597,0.7778003291147657,0.7273922629969501,0.8224774071220359,0.7789,0.7285,0.8244
Kikwit,1995-07-01,0.7708333333333334,0.717898314868485,0.8181007588980294,0.7695844720089148,0.7188404198327116,0.815577563823265,0.7632695526431439,0.7131558885131295,0.8101023722943369,0.8604651162790697,0.8120932277244612,0.9003203109408597,0.8586099831262743,0.8127981060143447,0.8973794133652565,0.85881122872333,0.8152142872805622,0.8985340037043059,0.7762300310140877,0.7257080006959101,0.8214009363273655,0.7766205076019681,0.7260342461978531,0.8212436137883036,0.7789,0.7285,0.8244
Kikwit,1995-07-02,0.7708333333333334,0.717898314868485,0.8181007588980294,0.7695844720089148,0.7188404198327116,0.815577563823265,0.7632695526431439,0.7131558885131295,0.8101023722943369,0.8604651162790697,0.8120932277244612,0.9003203109408597,0.8586099831262743,0.8127981060143447,0.8973794133652565,0.85881122872333,0.8152142872805622,0.8985340037043059,0.7751274722391577,0.7247546679309552,0.8204214330503543,0.7755376423341677,0.7249689170049107,0.8201595255399697,0.7762,0.7256,0.8219000000000001
Kikwit,1995-07-03,0.7708333333333334,0.717898314868485,0.8181007588980294,0.7695844720089148,0.7188404198327116,0.815577563823265,0.7632695526431439,0.7131558885131295,0.8101023722943369,0.8571428571428571,0.8085057717006219,0.8973794133652565,0.8553119217746303,0.8092211449619637,0.8944513816965782,0.8555321924846795,0.8117353482985351,0.8955775276269049,0.7742243098717783,0.7241220964983803,0.8195673002729147,0.7746952472904043,0.7238060940849605,0.8192548763708264,0.7762,0.7256,0.8219000000000001
Kikwit,1995-07-04,0.7708333333333334,0.717898314868485,0.8181007588980294,0.7695844720089148,0.7188404198327116,0.815577563823265,0.7632695526431439,0.7131558885131295,0.8101023722943369,0.8473282442748091,0.7979591091683711,0.8886347551978505,0.8455680129597328,0.7987046717666727,0.8857465184913973,0.845792737756351,0.8012571187047536,0.8867495211282023,0.7734965014565987,0.7234728550569854,0.818823830767942,0.7739233574410704,0.7228533604285902,0.8184825818072247,0.7762,0.7256,0.8219000000000001
