date,n,naive,naive_lower,naive_upper,resolved,resolved_lower,resolved_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper,competing_risks,competing_risks_lower,competing_risks_upper,kaplan_meier_ghani,kaplan_meier_ghani_upper,kaplan_meier_ghani_lower,parametric_mixture,parametric_mixture_lower,parametric_mixture_upper,parametric_mixture_success,has_recovery_data
2022-10-01,61,0.47540983606557374,0.345955331666303,0.6073314100899393,0.8787878787878788,0.7179837714627797,0.9659671185770213,0.6444000000000001,0.4995,0.7734000000000001,0.8809815936297882,0.7206100780072895,0.9550420320926327,0.8809815936297883,0.9476945761429545,0.751491892928555,0.8105193521172499,0.6314077291117506,0.935001437004274,True,True
2022-10-02,63,0.4603174603174603,0.3339143379663024,0.590574472760441,0.8787878787878788,0.7179837714627797,0.9659671185770213,0.5918,0.45220000000000005,0.7221000000000001,0.8823768747495817,0.7241697622601695,0.9554268674778953,0.8823768747495815,0.9483270346622404,0.7540819161953275,0.8135419033842948,0.6284789181255759,0.9373667147485147,True,True
2022-10-03,63,0.4603174603174603,0.3339143379663024,0.590574472760441,0.8787878787878788,0.7179837714627797,0.9659671185770213,0.5686,0.4319,0.6986,0.8904236331867358,0.7417863086976604,0.9583087021037601,0.8904236331867356,0.9521608530806142,0.7683933890489821,0.8267420972511969,0.6402159109003416,0.942807571810683,True,True
2022-10-04,63,0.47619047619047616,0.3487767112662898,0.6059162449215373,0.8108108108108109,0.6484476216307459,0.9203788791471231,0.5769000000000001,0.4414,0.7050000000000001,0.809840875480627,0.6496619849337166,0.9072406604872335,0.8098408754806271,0.8945696483808252,0.681280110516593,0.702762001386213,0.5287039002213887,0.8532853313019778,True,True
2022-10-05,63,0.47619047619047616,0.3487767112662898,0.6059162449215373,0.8108108108108109,0.6484476216307459,0.9203788791471231,0.5769000000000001,0.4414,0.7050000000000001,0.822115676909513,0.6678643728353939,0.9139583537584518,0.8221156769095128,0.9028105793804985,0.6969137808412409,0.7170405517823122,0.540402392176164,0.8640070286818997,True,True
2022-10-06,64,0.46875,0.3427965289396206,0.5976901554016487,0.7894736842105263,0.6268117163983604,0.9044588845441258,0.5660000000000001,0.4319,0.6939000000000001,0.7942066383872579,0.6366025000977953,0.8947583037174269,0.7942066383872579,0.8801871507209519,0.6696801099042203,0.6944969006894205,0.5211882651340184,0.8443541854047953,True,True
2022-10-07,64,0.46875,0.3427965289396206,0.5976901554016487,0.7894736842105263,0.6268117163983604,0.9044588845441258,0.5556,0.4228,0.6831,0.8092512747859886,0.6586560405149768,0.9031735173005244,0.8092512747859888,0.8905201835340552,0.6887408867192804,0.7155425444531663,0.5362776015090914,0.8613129015730525,True,True
2022-10-08,64,0.46875,0.3427965289396206,0.5976901554016487,0.7894736842105263,0.6268117163983604,0.9044588845441258,0.5455,0.4141,0.6726000000000001,0.8275872610569716,0.6858783235764282,0.9134358021287364,0.8275872610569716,0.9025511209197054,0.7132761720100225,0.7444780424172699,0.5576695407879628,0.8814409238606586,True,True
2022-10-09,68,0.5441176470588235,0.4187850458959869,0.6654842970710486,0.7254901960784313,0.5825524769508033,0.8410727346135854,0.6727000000000001,0.5429,0.7868,0.7328982305600413,0.5968563241388483,0.8356718692038496,0.7328982305600411,0.8146254872538281,0.6314410473069689,0.6625231757649702,0.5223517739991945,0.7896461478939915,True,True
2022-10-10,74,0.527027027027027,0.40749819079945326,0.6443261343574859,0.7358490566037735,0.5967207691499998,0.8474316399025805,0.6724,0.5461,0.7838,0.757254050449077,0.6291206487994201,0.8515639680233295,0.7572540504490772,0.8340232796499227,0.6594744295344888,0.686249894885031,0.5463668888212392,0.8091411474122012,True,True
