date,naive,resolved,delay_adjusted
2019-01-02,0.5739750445632799,0.7666666666666667,0.6338356597041898
2019-01-03,0.5716814159292035,0.7672209026128266,0.6312615079632949
2019-01-04,0.5759717314487632,0.7688679245283019,0.6325655476942973
2019-01-05,0.5669565217391305,0.7688679245283019,0.6284542759259052
2019-01-06,0.5701906412478336,0.7704918032786885,0.629949237796832
2019-01-07,0.5768566493955095,0.7731481481481481,0.6349789727952447
2019-01-08,0.5775862068965517,0.7736720554272517,0.6326962986449036
2019-01-09,0.5790378006872853,0.774712643678161,0.6323190503152577
2019-01-10,0.5787671232876712,0.7752293577981652,0.6303201550986329
2019-01-11,0.5767918088737202,0.7752293577981652,0.6267504116255553
2019-01-12,0.5764705882352941,0.7777777777777778,0.6322306755711268
2019-01-13,0.5783333333333334,0.7797752808988764,0.6359502976094104
2019-01-14,0.5796387520525451,0.7827050997782705,0.6429596650674962
2019-01-15,0.5830618892508144,0.7850877192982456,0.6478543276374631
2019-01-16,0.5831987075928917,0.7864923747276689,0.6488356618529739
2019-01-17,0.5784469096671949,0.7883369330453563,0.6511651249246129
2019-01-18,0.5770440251572327,0.789247311827957,0.6496613989427003
2019-01-19,0.5817610062893082,0.7905982905982906,0.6493881912612933
2019-01-20,0.5828125,0.7919320594479831,0.6488474520862191
2019-01-21,0.5907692307692308,0.7966804979253111,0.661561626346603
2019-01-22,0.5873493975903614,0.7991803278688525,0.6658165913588718
2019-01-23,0.5915915915915916,0.8008130081300813,0.6664632997106786
2019-01-24,0.5907738095238095,0.802020202020202,0.6651031470791321
2019-01-25,0.5955555555555555,0.804,0.6667678655008591
2019-01-26,0.5964653902798233,0.805168986083499,0.6651659193480743
2019-01-27,0.593841642228739,0.805168986083499,0.6589635389091185
2019-01-28,0.590711175616836,0.805940594059406,0.6561509570956706
2019-01-29,0.5888252148997135,0.8074656188605108,0.6566476410040574
2019-01-30,0.5872340425531914,0.80859375,0.6556525768584627
2019-01-31,0.5881523272214386,0.8097087378640777,0.6545887576764767
2019-02-01,0.5888111888111888,0.8111753371868978,0.6549590594238909
2019-02-02,0.5930555555555556,0.8133333333333334,0.658272832326308
2019-02-03,0.5882352941176471,0.8143939393939394,0.6570941612992175
2019-02-04,0.5885558583106267,0.8150943396226416,0.6544115395700699
2019-02-05,0.5904761904761905,0.8157894736842105,0.6516563814297633
2019-02-06,0.5943012211668928,0.8171641791044776,0.6518665299101785
2019-02-07,0.5967523680649527,0.8181818181818182,0.6508545063672575
2019-02-08,0.5959731543624162,0.8191881918819188,0.6501589881384008
2019-02-09,0.5986666666666667,0.8208409506398537,0.6525736778605227
2019-02-10,0.5986754966887418,0.8218181818181818,0.6523447830106097
2019-02-11,0.600263852242744,0.8227848101265823,0.652227009657175
2019-02-12,0.5984251968503937,0.8231046931407943,0.6494342297325889
2019-02-13,0.5989583333333334,0.8243727598566308,0.6508796638747495
2019-02-14,0.6038961038961039,0.8259325044404974,0.6537259662455144
2019-02-15,0.6062176165803109,0.8268551236749117,0.6538674591213318
2019-02-16,0.6067270375161707,0.8271604938271605,0.6514178767638977
2019-02-17,0.6090322580645161,0.8280701754385965,0.6518426987674674
2019-02-18,0.5943517329910141,0.8253119429590018,0.6484867281436992
2019-02-19,0.5925925925925926,0.8256227758007118,0.6466844685766836
2019-02-20,0.5913705583756346,0.8262411347517731,0.6463409036942411
2019-02-21,0.593198992443325,0.827768014059754,0.6499859717516482
2019-02-22,0.5944931163954944,0.8289703315881326,0.6522482694621541
2019-02-23,0.5982587064676617,0.8307426597582038,0.6569794739007508
2019-02-24,0.5985130111524164,0.8313253012048193,0.6563515022150225
2019-02-25,0.6,0.8321917808219178,0.6569048087942454
2019-02-26,0.5995085995085995,0.8327645051194539,0.6561231239288638
2019-02-27,0.5975609756097561,0.8333333333333334,0.6553436002866645
2019-02-28,0.5978128797083839,0.8338983050847457,0.6545494395379504
2019-03-01,0.5987878787878788,0.8344594594594594,0.6537216627338303
2019-03-02,0.5983112183353438,0.835016835016835,0.6529151926143064
2019-03-03,0.5985576923076923,0.8355704697986577,0.6521717392262897
2019-03-04,0.5988023952095808,0.8361204013377926,0.6514926523229047
2019-03-05,0.5980975029726516,0.8369384359400999,0.6521259561506546
2019-03-06,0.6002358490566038,0.8385502471169687,0.6564867796910151
2019-03-07,0.6014067995310668,0.839607201309329,0.6582985191781798
2019-03-08,0.6007025761124122,0.839607201309329,0.6550877728853056
2019-03-09,0.6039719626168224,0.8406504065040651,0.6566826627539274
2019-03-10,0.6025641025641025,0.8406504065040651,0.6534586420325366
2019-03-11,0.6034883720930233,0.8411669367909238,0.6527673068557744
2019-03-12,0.6020881670533643,0.8411669367909238,0.6498260075546379
2019-03-13,0.6020761245674741,0.8419354838709677,0.6506399166418564
2019-03-14,0.6039035591274398,0.842948717948718,0.6527566794157833
2019-03-15,0.60250569476082,0.8437001594896332,0.6537221931439849
2019-03-16,0.6015801354401806,0.8446909667194928,0.6558254443375635
2019-03-17,0.6011173184357542,0.8459119496855346,0.6589322984059827
2019-03-18,0.5991140642303433,0.8466353677621283,0.6594119379995255
2019-03-19,0.5956284153005464,0.8475894245723172,0.6607081370179113
2019-03-20,0.5928725701943844,0.848531684698609,0.661588128513211
2019-03-21,0.5991379310344828,0.8501529051987767,0.6654154197516384
2019-03-22,0.5995717344753747,0.851063829787234,0.6653672282941434
2019-03-23,0.597457627118644,0.851963746223565,0.6651147787561905
2019-03-24,0.5983175604626709,0.8530734632683659,0.6658412502910905
2019-03-25,0.599791013584117,0.8541666666666666,0.6664027297720921
2019-03-26,0.5985477178423236,0.8548148148148148,0.6646410387573173
2019-03-27,0.5991820040899796,0.8567251461988304,0.6694407903401414
2019-03-28,0.5981873111782477,0.8583815028901735,0.672973635366944
2019-03-29,0.5972083748753739,0.8593974175035868,0.6729309010285612
2019-03-30,0.6003937007874016,0.8615819209039548,0.6789435452404415
2019-03-31,0.5992179863147605,0.8621659634317862,0.6759966049961277
2019-04-01,0.601364522417154,0.862937062937063,0.6738456027598516
2019-04-02,0.6034816247582205,0.8642659279778393,0.6747443112282241
